dataset,recording,derivation,median_abs_uV
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t002.edf,F4-C4,3093.834
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t002.edf,Fp2-F4,2425.008
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t002.edf,P4-O2,5368.345
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t003.edf,C4-P4,241.932
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t003.edf,Cz-Pz,5386.247
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t003.edf,F4-C4,3219.066
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t003.edf,Fp2-F4,2062.11
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t003.edf,P4-O2,5381.563
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t004.edf,C4-P4,1125.502
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t004.edf,Cz-Pz,1029.549
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t004.edf,F4-C4,288.444
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t004.edf,P4-O2,1032.142
tusz,tusz_v2.0.6/edf/train/aaaaalfs/s002_2010/03_tcp_ar_a/aaaaalfs_s002_t005.edf,C4-P4,217.839
tusz,tusz_v2.0.6/edf/train/aaaaaljo/s001_2011/01_tcp_ar/aaaaaljo_s001_t000.edf,Cz-Pz,0.695
tusz,tusz_v2.0.6/edf/train/aaaaaljo/s001_2011/01_tcp_ar/aaaaaljo_s001_t000.edf,Fp1-F7,0.975
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t000.edf,P3-O1,864.664
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t000.edf,P7-O1,858.975
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t002.edf,P3-O1,553.633
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t002.edf,P7-O1,552.294
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t003.edf,P3-O1,1797.089
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t003.edf,P7-O1,1792.237
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t004.edf,P3-O1,1724.141
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s005_2011/01_tcp_ar/aaaaalmz_s005_t004.edf,P7-O1,1719.289
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s007_2011/01_tcp_ar/aaaaalmz_s007_t001.edf,P3-O1,3641.611
tusz,tusz_v2.0.6/edf/train/aaaaalmz/s007_2011/01_tcp_ar/aaaaalmz_s007_t001.edf,P7-O1,3634.333
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t000.edf,Cz-Pz,445.737
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t001.edf,Cz-Pz,210.915
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t002.edf,Cz-Pz,211.828
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t003.edf,Cz-Pz,352.576
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t004.edf,Cz-Pz,1897.589
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t004.edf,F7-T7,2133.336
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t004.edf,Fp1-F3,2142.134
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,C4-P4,221.433
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,Cz-Pz,1627.171
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,F3-C3,450.172
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,F8-T8,1334.124
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,Fp1-F3,1864.127
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,Fp2-F4,1200.869
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,P8-O2,448.475
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,T7-P7,1341.714
tusz,tusz_v2.0.6/edf/train/aaaaalnt/s002_2011/03_tcp_ar_a/aaaaalnt_s002_t005.edf,T8-P8,262.534
tusz,tusz_v2.0.6/edf/train/aaaaalnv/s006_2015/01_tcp_ar/aaaaalnv_s006_t008.edf,Fp2-F4,253.393
tusz,tusz_v2.0.6/edf/train/aaaaalnv/s009_2015/01_tcp_ar/aaaaalnv_s009_t002.edf,Fp1-F3,363.4
tusz,tusz_v2.0.6/edf/train/aaaaalnv/s009_2015/01_tcp_ar/aaaaalnv_s009_t002.edf,Fp1-F7,335.459
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t002.edf,P3-O1,201.275
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t004.edf,C3-P3,245.111
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t004.edf,P3-O1,232.395
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t005.edf,C3-P3,389.835
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t005.edf,P3-O1,384.314
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t005.edf,P4-O2,1201.629
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t005.edf,P8-O2,1203.72
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t006.edf,P4-O2,326.926
tusz,tusz_v2.0.6/edf/train/aaaaalnx/s003_2011/03_tcp_ar_a/aaaaalnx_s003_t006.edf,P8-O2,331.276
tusz,tusz_v2.0.6/edf/train/aaaaaltg/s008_2014/01_tcp_ar/aaaaaltg_s008_t007.edf,Cz-Pz,271.044
tusz,tusz_v2.0.6/edf/train/aaaaalxt/s003_2011/03_tcp_ar_a/aaaaalxt_s003_t007.edf,C4-P4,203.618
tusz,tusz_v2.0.6/edf/train/aaaaalxt/s003_2011/03_tcp_ar_a/aaaaalxt_s003_t007.edf,P4-O2,207.131
tusz,tusz_v2.0.6/edf/train/aaaaalxt/s003_2011/03_tcp_ar_a/aaaaalxt_s003_t008.edf,C4-P4,235.909
tusz,tusz_v2.0.6/edf/train/aaaaalxt/s003_2011/03_tcp_ar_a/aaaaalxt_s003_t008.edf,P4-O2,240.091
tusz,tusz_v2.0.6/edf/train/aaaaalxt/s003_2011/03_tcp_ar_a/aaaaalxt_s003_t009.edf,C4-P4,1010.894
tusz,tusz_v2.0.6/edf/train/aaaaalxt/s003_2011/03_tcp_ar_a/aaaaalxt_s003_t009.edf,P4-O2,1026.119
tusz,tusz_v2.0.6/edf/train/aaaaamca/s004_2013/01_tcp_ar/aaaaamca_s004_t007.edf,Cz-Pz,200.439
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s002_2011/01_tcp_ar/aaaaamhb_s002_t004.edf,Cz-Pz,241.932
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t004.edf,C4-P4,231.559
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t004.edf,P4-O2,232.897
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t005.edf,C4-P4,958.191
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t005.edf,P4-O2,963.879
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t006.edf,C4-P4,1686.496
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t006.edf,F4-C4,2925.101
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t006.edf,Fp2-F4,2970.944
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t006.edf,P4-O2,1728.157
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t007.edf,C4-P4,1562.017
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t007.edf,F4-C4,5354.626
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t007.edf,Fp2-F4,5438.281
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t007.edf,P4-O2,1637.976
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,C3-P3,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,C4-P4,661.548
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,Cz-Pz,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,F3-C3,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,F4-C4,6308.383
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,F7-T7,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,F8-T8,1415.787
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,Fp1-F3,4396.184
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,Fp1-F7,4394.26
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,Fp2-F4,5544.607
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,Fp2-F8,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,Fz-Cz,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,P3-O1,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,P4-O2,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,P7-O1,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,P8-O2,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,T7-P7,0.0
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t008.edf,T8-P8,1411.939
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,C3-P3,1601.837
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,Cz-Pz,1795.834
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,F3-C3,4013.125
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,F4-C4,3363.623
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,F8-T8,220.181
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,Fp1-F3,4509.537
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,Fp1-F7,3632.325
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,Fp2-F4,4651.501
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,Fp2-F8,4695.169
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,Fz-Cz,5241.021
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,P3-O1,340.813
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,P4-O2,3503.997
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,P7-O1,320.401
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,T7-P7,4482.349
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s004_2012/01_tcp_ar/aaaaamhb_s004_t009.edf,T8-P8,338.136
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s007_2012/01_tcp_ar/aaaaamhb_s007_t007.edf,Fp1-F3,1842.671
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s007_2012/01_tcp_ar/aaaaamhb_s007_t007.edf,Fp1-F7,1843.143
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s007_2012/01_tcp_ar/aaaaamhb_s007_t008.edf,Fp1-F3,386.145
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s007_2012/01_tcp_ar/aaaaamhb_s007_t008.edf,Fp1-F7,386.412
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s007_2012/01_tcp_ar/aaaaamhb_s007_t009.edf,Fp1-F3,428.642
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s007_2012/01_tcp_ar/aaaaamhb_s007_t009.edf,Fp1-F7,428.276
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t000.edf,Fz-Cz,205.659
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t001.edf,Fz-Cz,210.93
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t002.edf,Cz-Pz,261.221
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t002.edf,Fz-Cz,261.518
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t003.edf,Cz-Pz,281.767
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t003.edf,Fz-Cz,281.995
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t004.edf,Cz-Pz,204.485
tusz,tusz_v2.0.6/edf/train/aaaaamhb/s012_2012/01_tcp_ar/aaaaamhb_s012_t004.edf,Fz-Cz,204.959
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t000.edf,F7-T7,1754.759
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t000.edf,F8-T8,1412.441
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t000.edf,T7-P7,1766.973
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t000.edf,T8-P8,1402.569
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,C4-P4,911.009
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,F4-C4,585.756
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,F7-T7,558.485
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,Fp1-F7,557.648
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,Fp2-F4,326.089
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,Fp2-F8,664.393
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t006.edf,T8-P8,697.353
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t007.edf,C4-P4,1046.113
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t007.edf,F4-C4,841.324
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t007.edf,F8-T8,894.613
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t007.edf,Fp2-F4,231.224
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t007.edf,Fp2-F8,1200.959
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t007.edf,T8-P8,507.622
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,C3-P3,441.199
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,C4-P4,691.33
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,Cz-Pz,297.145
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,F3-C3,226.707
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,F4-C4,331.276
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,F7-T7,576.554
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,Fp1-F3,301.829
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,Fp1-F7,673.762
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,Fp2-F4,508.124
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,Fp2-F8,976.428
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,Fz-Cz,231.308
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,P3-O1,306.514
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,P7-O1,322.576
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,T7-P7,210.31
tusz,tusz_v2.0.6/edf/train/aaaaammu/s004_2012/01_tcp_ar/aaaaammu_s004_t008.edf,T8-P8,948.654
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s003_2012/01_tcp_ar/aaaaamoa_s003_t011.edf,Fp2-F4,242.601
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s003_2012/01_tcp_ar/aaaaamoa_s003_t011.edf,Fp2-F8,241.597
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t005.edf,F8-T8,276.565
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t005.edf,Fp2-F8,276.231
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t006.edf,C4-P4,2222.728
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t006.edf,F7-T7,692.501
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t006.edf,P4-O2,2224.067
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t006.edf,T7-P7,693.505
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t007.edf,C4-P4,2569.23
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t007.edf,F7-T7,2177.22
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t007.edf,F8-T8,528.703
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t007.edf,Fp2-F8,527.699
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t007.edf,P4-O2,2571.489
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t007.edf,T7-P7,2178.893
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t008.edf,C4-P4,412.087
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t008.edf,F7-T7,355.703
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t008.edf,P4-O2,412.757
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t008.edf,T7-P7,355.703
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t009.edf,C4-P4,2564.545
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t009.edf,F7-T7,452.577
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t009.edf,P4-O2,2569.732
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t009.edf,T7-P7,465.627
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t010.edf,C4-P4,2575.253
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t010.edf,F7-T7,764.445
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t010.edf,P4-O2,2579.603
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s004_2012/01_tcp_ar/aaaaamoa_s004_t010.edf,T7-P7,748.383
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s006_2012/01_tcp_ar/aaaaamoa_s006_t008.edf,Fp2-F4,3763.999
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s006_2012/01_tcp_ar/aaaaamoa_s006_t008.edf,Fp2-F8,3763.999
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s006_2012/01_tcp_ar/aaaaamoa_s006_t009.edf,Fp2-F4,368.921
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s006_2012/01_tcp_ar/aaaaamoa_s006_t009.edf,Fp2-F8,368.252
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s006_2012/01_tcp_ar/aaaaamoa_s006_t011.edf,Fp1-F3,1294.988
tusz,tusz_v2.0.6/edf/train/aaaaamoa/s006_2012/01_tcp_ar/aaaaamoa_s006_t011.edf,Fp1-F7,1293.482
tusz,tusz_v2.0.6/edf/train/aaaaamof/s002_2012/01_tcp_ar/aaaaamof_s002_t000.edf,C3-P3,0.669
tusz,tusz_v2.0.6/edf/train/aaaaamof/s002_2012/01_tcp_ar/aaaaamof_s002_t000.edf,C4-P4,0.837
tusz,tusz_v2.0.6/edf/train/aaaaamof/s002_2012/01_tcp_ar/aaaaamof_s002_t000.edf,F4-C4,0.837
tusz,tusz_v2.0.6/edf/train/aaaaamoq/s005_2012/01_tcp_ar/aaaaamoq_s005_t004.edf,Fp1-F3,328.529
tusz,tusz_v2.0.6/edf/train/aaaaamoq/s005_2012/01_tcp_ar/aaaaamoq_s005_t004.edf,Fp1-F7,327.583
tusz,tusz_v2.0.6/edf/train/aaaaamoq/s005_2012/01_tcp_ar/aaaaamoq_s005_t009.edf,Fp2-F4,357.837
tusz,tusz_v2.0.6/edf/train/aaaaamoq/s005_2012/01_tcp_ar/aaaaamoq_s005_t009.edf,Fp2-F8,353.797
tusz,tusz_v2.0.6/edf/train/aaaaampz/s003_2015/01_tcp_ar/aaaaampz_s003_t000.edf,C4-P4,0.335
tusz,tusz_v2.0.6/edf/train/aaaaampz/s003_2015/01_tcp_ar/aaaaampz_s003_t000.edf,Cz-Pz,0.335
tusz,tusz_v2.0.6/edf/train/aaaaampz/s003_2015/01_tcp_ar/aaaaampz_s003_t000.edf,F3-C3,0.837
tusz,tusz_v2.0.6/edf/train/aaaaampz/s003_2015/01_tcp_ar/aaaaampz_s003_t000.edf,F4-C4,0.335
